0.00.026.586 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.166.218 W srv  llama_server: -----------------
0.00.166.220 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.166.220 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.166.221 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.166.221 W srv  llama_server: -----------------
0.00.167.514 I srv    load_model: loading model 'runs/raft-s0/gguf_e2/model.Q8_0.gguf'
0.00.672.923 W model has unused tensor blk.24.attn_norm.weight (size = 4096 bytes) -- ignoring
0.00.672.928 W model has unused tensor blk.24.post_attention_norm.weight (size = 4096 bytes) -- ignoring
0.00.672.931 W model has unused tensor blk.24.attn_q.weight (size = 4456448 bytes) -- ignoring
0.00.672.933 W model has unused tensor blk.24.attn_k.weight (size = 557056 bytes) -- ignoring
0.00.672.934 W model has unused tensor blk.24.attn_v.weight (size = 557056 bytes) -- ignoring
0.00.672.938 W model has unused tensor blk.24.attn_output.weight (size = 2228224 bytes) -- ignoring
0.00.672.939 W model has unused tensor blk.24.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.672.940 W model has unused tensor blk.24.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.672.942 W model has unused tensor blk.24.ffn_gate.weight (size = 3899392 bytes) -- ignoring
0.00.672.943 W model has unused tensor blk.24.ffn_down.weight (size = 3899392 bytes) -- ignoring
0.00.672.944 W model has unused tensor blk.24.ffn_up.weight (size = 3899392 bytes) -- ignoring
0.00.672.946 W model has unused tensor blk.24.nextn.eh_proj.weight (size = 2228224 bytes) -- ignoring
0.00.672.955 W model has unused tensor blk.24.nextn.enorm.weight (size = 4096 bytes) -- ignoring
0.00.672.957 W model has unused tensor blk.24.nextn.hnorm.weight (size = 4096 bytes) -- ignoring
0.00.672.961 W model has unused tensor blk.24.nextn.shared_head_norm.weight (size = 4096 bytes) -- ignoring
0.01.206.229 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.01.208.109 I srv  llama_server: model loaded
0.01.208.114 I srv  llama_server: listening on http://127.0.0.1:8091
0.03.071.392 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.03.071.421 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.03.298.481 I slot print_timing: id  3 | task 0 | prompt eval time =      58.20 ms /  2243 tokens (    0.03 ms per token, 38540.84 tokens per second)
0.03.298.484 I slot print_timing: id  3 | task 0 |        eval time =     168.83 ms /   105 tokens (    1.61 ms per token,   621.94 tokens per second)
0.03.298.484 I slot print_timing: id  3 | task 0 |       total time =     227.02 ms /  2348 tokens
0.03.298.488 I slot print_timing: id  3 | task 0 |    graphs reused =        103
0.03.298.602 I slot      release: id  3 | task 0 | stop processing: n_tokens = 2347, truncated = 0
0.03.306.976 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.102 (> 0.100 thold), f_keep = 0.101
0.03.326.745 I slot launch_slot_: id  3 | task 108 | processing task, is_child = 0
0.03.519.064 I slot print_timing: id  3 | task 108 | prompt eval time =      49.35 ms /  2318 tokens (    0.02 ms per token, 46967.76 tokens per second)
0.03.519.067 I slot print_timing: id  3 | task 108 |        eval time =     142.94 ms /    91 tokens (    1.57 ms per token,   636.65 tokens per second)
0.03.519.067 I slot print_timing: id  3 | task 108 |       total time =     192.29 ms /  2409 tokens
0.03.519.068 I slot print_timing: id  3 | task 108 |    graphs reused =        192
0.03.519.177 I slot      release: id  3 | task 108 | stop processing: n_tokens = 2408, truncated = 0
0.03.527.586 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.102 (> 0.100 thold), f_keep = 0.098
0.03.546.736 I slot launch_slot_: id  3 | task 202 | processing task, is_child = 0
0.03.788.354 I slot print_timing: id  3 | task 202 | prompt eval time =      48.50 ms /  2309 tokens (    0.02 ms per token, 47605.30 tokens per second)
0.03.788.357 I slot print_timing: id  3 | task 202 |        eval time =     193.08 ms /   123 tokens (    1.57 ms per token,   637.03 tokens per second)
0.03.788.357 I slot print_timing: id  3 | task 202 |       total time =     241.59 ms /  2432 tokens
0.03.788.358 I slot print_timing: id  3 | task 202 |    graphs reused =        313
0.03.788.455 I slot      release: id  3 | task 202 | stop processing: n_tokens = 2431, truncated = 0
0.03.796.676 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.101 (> 0.100 thold), f_keep = 0.097
0.03.815.890 I slot launch_slot_: id  3 | task 328 | processing task, is_child = 0
0.03.888.810 I slot print_timing: id  3 | task 328 | prompt eval time =      48.87 ms /  2346 tokens (    0.02 ms per token, 48000.98 tokens per second)
0.03.888.814 I slot print_timing: id  3 | task 328 |        eval time =      24.02 ms /    15 tokens (    1.60 ms per token,   624.51 tokens per second)
0.03.888.814 I slot print_timing: id  3 | task 328 |       total time =      72.89 ms /  2361 tokens
0.03.888.815 I slot print_timing: id  3 | task 328 |    graphs reused =        326
0.03.888.919 I slot      release: id  3 | task 328 | stop processing: n_tokens = 2360, truncated = 0
0.03.897.195 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.107 (> 0.100 thold), f_keep = 0.100
0.03.916.040 I slot launch_slot_: id  3 | task 346 | processing task, is_child = 0
0.04.088.052 I slot print_timing: id  3 | task 346 | prompt eval time =      47.86 ms /  2214 tokens (    0.02 ms per token, 46262.82 tokens per second)
0.04.088.055 I slot print_timing: id  3 | task 346 |        eval time =     124.13 ms /    79 tokens (    1.57 ms per token,   636.44 tokens per second)
0.04.088.056 I slot print_timing: id  3 | task 346 |       total time =     171.98 ms /  2293 tokens
0.04.088.057 I slot print_timing: id  3 | task 346 |    graphs reused =        403
0.04.088.156 I slot      release: id  3 | task 346 | stop processing: n_tokens = 2292, truncated = 0
0.04.096.475 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.107 (> 0.100 thold), f_keep = 0.103
0.04.114.864 I slot launch_slot_: id  3 | task 428 | processing task, is_child = 0
0.04.255.316 I slot print_timing: id  3 | task 428 | prompt eval time =      47.72 ms /  2206 tokens (    0.02 ms per token, 46226.06 tokens per second)
0.04.255.319 I slot print_timing: id  3 | task 428 |        eval time =      92.70 ms /    59 tokens (    1.57 ms per token,   636.43 tokens per second)
0.04.255.320 I slot print_timing: id  3 | task 428 |       total time =     140.43 ms /  2265 tokens
0.04.255.320 I slot print_timing: id  3 | task 428 |    graphs reused =        460
0.04.255.420 I slot      release: id  3 | task 428 | stop processing: n_tokens = 2264, truncated = 0
0.04.263.511 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.110 (> 0.100 thold), f_keep = 0.104
0.04.282.338 I slot launch_slot_: id  3 | task 490 | processing task, is_child = 0
0.04.423.110 I slot print_timing: id  3 | task 490 | prompt eval time =      47.80 ms /  2155 tokens (    0.02 ms per token, 45079.91 tokens per second)
0.04.423.114 I slot print_timing: id  3 | task 490 |        eval time =      92.94 ms /    59 tokens (    1.58 ms per token,   634.80 tokens per second)
